Ensembl	pval	protein
ENSP00000482027	4.49828680739241e-8	9606.ENSP00000482027
ENSP00000295297	4.77500909767846e-8	9606.ENSP00000295297
ENSP00000320951	4.81394288182003e-8	9606.ENSP00000320951
ENSP00000265340	4.94050165002338e-8	9606.ENSP00000265340
ENSP00000231751	5.11997889952545e-8	9606.ENSP00000231751
ENSP00000223095	5.18305042218265e-8	9606.ENSP00000223095
ENSP00000297991	5.37208819278982e-8	9606.ENSP00000297991
ENSP00000485448	6.06480522208374e-8	9606.ENSP00000485448
ENSP00000360918	7.34619384379372e-8	9606.ENSP00000360918
ENSP00000334198	8.10176191613405e-8	9606.ENSP00000334198
ENSP00000310170	8.48185873267064e-8	9606.ENSP00000310170
ENSP00000431418	9.80497109105594e-8	9606.ENSP00000431418
ENSP00000272223	1.09530280510254e-7	9606.ENSP00000272223
ENSP00000303532	1.17634931016679e-7	9606.ENSP00000303532
ENSP00000238994	1.46042393843522e-7	9606.ENSP00000238994
ENSP00000265381	1.46397784087785e-7	9606.ENSP00000265381
ENSP00000360247	1.53748503490084e-7	9606.ENSP00000360247
ENSP00000302569	1.58471001253808e-7	9606.ENSP00000302569
ENSP00000367972	1.64018735461552e-7	9606.ENSP00000367972
ENSP00000264377	1.75791689266367e-7	9606.ENSP00000264377
ENSP00000359783	1.80241034841518e-7	9606.ENSP00000359783
ENSP00000369251	1.83773643876325e-7	9606.ENSP00000369251
ENSP00000330393	1.9541540279226e-7	9606.ENSP00000330393
ENSP00000371798	2.18127074965838e-7	9606.ENSP00000371798
ENSP00000330341	2.35428363203626e-7	9606.ENSP00000330341
ENSP00000382783	2.56759493929511e-7	9606.ENSP00000382783
ENSP00000481728	2.73934128900758e-7	9606.ENSP00000481728
ENSP00000351310	3.16699193498042e-7	9606.ENSP00000351310
ENSP00000219207	3.29403593352891e-7	9606.ENSP00000219207
ENSP00000370989	3.73945276463301e-7	9606.ENSP00000370989
ENSP00000356832	4.07597588734025e-7	9606.ENSP00000356832
ENSP00000384359	4.29024200144929e-7	9606.ENSP00000384359
ENSP00000327025	4.75255217227598e-7	9606.ENSP00000327025
ENSP00000297029	4.80845682297606e-7	9606.ENSP00000297029
ENSP00000470123	4.99251014267011e-7	9606.ENSP00000470123
ENSP00000484644	5.24343789079832e-7	9606.ENSP00000484644
ENSP00000426159	5.31098541220207e-7	9606.ENSP00000426159
ENSP00000251595	5.50217121746857e-7	9606.ENSP00000251595
ENSP00000301455	5.75530557012762e-7	9606.ENSP00000301455
ENSP00000230036	5.84765941703981e-7	9606.ENSP00000230036
ENSP00000371394	5.86032443184035e-7	9606.ENSP00000371394
ENSP00000352565	7.55384964937394e-7	9606.ENSP00000352565
ENSP00000393952	9.07615997908726e-7	9606.ENSP00000393952
ENSP00000495530	9.3602141024003e-7	9606.ENSP00000495530
ENSP00000281441	1.02843494617482e-6	9606.ENSP00000281441
ENSP00000496129	1.04042120268597e-6	9606.ENSP00000496129
ENSP00000423917	1.04071976537423e-6	9606.ENSP00000423917
ENSP00000404265	1.04154727103279e-6	9606.ENSP00000404265
ENSP00000497351	1.05709615800004e-6	9606.ENSP00000497351
ENSP00000427123	1.05756085545431e-6	9606.ENSP00000427123
ENSP00000354532	1.29888909234176e-6	9606.ENSP00000354532
ENSP00000458585	1.29964243444438e-6	9606.ENSP00000458585
ENSP00000379111	1.32931188464159e-6	9606.ENSP00000379111
ENSP00000438483	1.48546800545392e-6	9606.ENSP00000438483
ENSP00000422834	1.52778565372541e-6	9606.ENSP00000422834
ENSP00000297313	1.57435202766831e-6	9606.ENSP00000297313
ENSP00000396163	1.57800668129544e-6	9606.ENSP00000396163
ENSP00000321370	1.64142307448172e-6	9606.ENSP00000321370
ENSP00000330825	1.73141305136822e-6	9606.ENSP00000330825
ENSP00000347754	1.80614272147058e-6	9606.ENSP00000347754
ENSP00000369318	1.84897759516916e-6	9606.ENSP00000369318
ENSP00000415090	1.89788487359988e-6	9606.ENSP00000415090
ENSP00000353512	1.92700647468411e-6	9606.ENSP00000353512
ENSP00000392024	2.0826796448061e-6	9606.ENSP00000392024
ENSP00000355847	2.14819438464929e-6	9606.ENSP00000355847
ENSP00000345868	2.47568616794931e-6	9606.ENSP00000345868
ENSP00000357740	2.53558609470185e-6	9606.ENSP00000357740
ENSP00000300113	2.61099750315497e-6	9606.ENSP00000300113
ENSP00000455169	2.74442371860985e-6	9606.ENSP00000455169
ENSP00000227266	2.75567874613783e-6	9606.ENSP00000227266
ENSP00000353770	2.84199744930606e-6	9606.ENSP00000353770
ENSP00000304440	2.84594891411292e-6	9606.ENSP00000304440
ENSP00000257527	3.04207087951573e-6	9606.ENSP00000257527
ENSP00000481841	3.22158692254508e-6	9606.ENSP00000481841
ENSP00000356320	3.2438382250447e-6	9606.ENSP00000356320
ENSP00000358765	3.26886969828455e-6	9606.ENSP00000358765
ENSP00000209929	3.7886308249847402e-06	9606.ENSP00000209929
ENSP00000366047	4.5174239257573e-6	9606.ENSP00000366047
ENSP00000301399	4.61265841350071e-6	9606.ENSP00000301399
ENSP00000364140	4.64075305584521e-6	9606.ENSP00000364140
ENSP00000222248	4.78570001324188e-6	9606.ENSP00000222248
ENSP00000457205	5.24758390620609e-6	9606.ENSP00000457205
ENSP00000299855	5.37930175945023e-6	9606.ENSP00000299855
ENSP00000259989	5.94389323705052e-6	9606.ENSP00000259989
ENSP00000346990	5.94862539069242e-6	9606.ENSP00000346990
ENSP00000285018	6.37581695598602e-6	9606.ENSP00000285018
ENSP00000411898	6.43644779158365e-6	9606.ENSP00000411898
ENSP00000418193	6.44335617578981e-6	9606.ENSP00000418193
ENSP00000305651	6.51851525284146e-6	9606.ENSP00000305651
ENSP00000259211	6.76397172646079e-6	9606.ENSP00000259211
ENSP00000365884	6.88066976686799e-6	9606.ENSP00000365884
ENSP00000371689	6.89281033406595e-6	9606.ENSP00000371689
ENSP00000267460	7.80313471684444e-6	9606.ENSP00000267460
ENSP00000497256	7.91295352702238e-6	9606.ENSP00000497256
ENSP00000301263	8.12725206376108e-6	9606.ENSP00000301263
ENSP00000318982	8.50374555658116e-6	9606.ENSP00000318982
ENSP00000268122	8.94245254292461e-6	9606.ENSP00000268122
ENSP00000005178	9.11107903289527e-6	9606.ENSP00000005178
ENSP00000309913	9.25439273876052e-6	9606.ENSP00000309913
