ids	values
9606.ENSP00000398890	5.5174206e-07
9606.ENSP00000396330	5.810706e-07
9606.ENSP00000309521	5.8338446e-07
9606.ENSP00000366024	5.871676e-07
9606.ENSP00000331111	6.3271784e-07
9606.ENSP00000430886	6.329838e-07
9606.ENSP00000360046	6.3460135e-07
9606.ENSP00000259895	6.465816e-07
9606.ENSP00000327025	6.5530514e-07
9606.ENSP00000364235	6.5757126e-07
9606.ENSP00000384766	6.588591e-07
9606.ENSP00000365362	6.881524e-07
9606.ENSP00000371054	7.5497456e-07
9606.ENSP00000164024	7.5559933e-07
9606.ENSP00000433642	8.0784463e-07
9606.ENSP00000339001	9.2171484e-07
9606.ENSP00000398698	9.60219e-07
9606.ENSP00000364935	1.0354605e-06
9606.ENSP00000417401	1.0412326e-06
9606.ENSP00000273077	1.0816206e-06
9606.ENSP00000307156	1.0988922e-06
9606.ENSP00000200652	1.1113524e-06
9606.ENSP00000327832	1.444498e-06
9606.ENSP00000294543	1.4671728e-06
9606.ENSP00000419195	1.4849072e-06
9606.ENSP00000294129	1.5886005e-06
9606.ENSP00000340278	1.6971777e-06
9606.ENSP00000401197	1.7170606e-06
9606.ENSP00000242104	2.0430266e-06
9606.ENSP00000480270	2.1944127e-06
9606.ENSP00000459615	2.1981e-06
9606.ENSP00000397351	2.3022646e-06
9606.ENSP00000302194	2.4719316e-06
9606.ENSP00000496848	2.5621666e-06
9606.ENSP00000296474	2.5783668e-06
9606.ENSP00000319006	2.5878296e-06
9606.ENSP00000327468	2.5878296e-06
9606.ENSP00000344989	2.6413602e-06
9606.ENSP00000229829	2.6499579e-06
9606.ENSP00000360782	3.0105227e-06
9606.ENSP00000321584	3.0705412e-06
9606.ENSP00000307567	3.2678502e-06
9606.ENSP00000359070	3.2705107e-06
9606.ENSP00000300658	3.2852893e-06
9606.ENSP00000293604	3.3561853e-06
9606.ENSP00000402760	3.42485e-06
9606.ENSP00000301659	3.5375597e-06
9606.ENSP00000391788	3.7176399e-06
9606.ENSP00000341422	3.822685e-06
9606.ENSP00000331103	4.0342493e-06
9606.ENSP00000275364	4.0579675e-06
9606.ENSP00000365588	4.2546785e-06
9606.ENSP00000231228	4.3753607e-06
9606.ENSP00000363157	4.4424046e-06
9606.ENSP00000292303	4.450908e-06
9606.ENSP00000454903	4.475435e-06
9606.ENSP00000328720	4.7264075e-06
9606.ENSP00000483486	4.9117075e-06
9606.ENSP00000410446	4.9372184e-06
9606.ENSP00000266077	5.006242e-06
9606.ENSP00000418259	6.0023817e-06
9606.ENSP00000296473	6.0377943e-06
9606.ENSP00000418037	6.707902e-06
9606.ENSP00000264657	6.863711e-06
9606.ENSP00000349929	6.887727e-06
9606.ENSP00000346001	6.913836e-06
9606.ENSP00000349967	7.4487143e-06
9606.ENSP00000269571	7.4579775e-06
9606.ENSP00000378830	7.5019e-06
9606.ENSP00000329557	8.012298e-06
9606.ENSP00000326305	8.248359e-06
9606.ENSP00000348461	8.769058e-06
9606.ENSP00000378920	8.8027755e-06
9606.ENSP00000295685	9.300039e-06
9606.ENSP00000488973	9.9603e-06
9606.ENSP00000365844	1.0085543e-05
9606.ENSP00000265563	1.3085513e-05
9606.ENSP00000283921	1.44856585e-05
9606.ENSP00000366091	1.47792e-05
9606.ENSP00000478699	1.4993663e-05
9606.ENSP00000364677	1.5888194e-05
9606.ENSP00000348769	1.5926258e-05
9606.ENSP00000259953	1.6663846e-05
9606.ENSP00000367714	1.6941138e-05
9606.ENSP00000317289	1.7006509e-05
9606.ENSP00000347948	1.7282759e-05
9606.ENSP00000378702	1.7331116e-05
9606.ENSP00000292301	1.8730861e-05
9606.ENSP00000500386	1.8738956e-05
9606.ENSP00000409799	1.9676007e-05
9606.ENSP00000251921	2.2310267e-05
9606.ENSP00000231751	2.2503731e-05
9606.ENSP00000378857	2.3817807e-05
9606.ENSP00000006015	2.5870377e-05
9606.ENSP00000417182	2.6603571e-05
9606.ENSP00000364627	2.7311808e-05
9606.ENSP00000364978	3.6323683e-05
9606.ENSP00000254079	3.7874914e-05
9606.ENSP00000229135	4.1374886e-05
9606.ENSP00000492959	4.1598283e-05
9606.ENSP00000365924	4.8122638e-05
9606.ENSP00000385939	4.8558617e-05
9606.ENSP00000351989	4.9416078e-05
9606.ENSP00000337446	5.044606e-05
9606.ENSP00000258739	5.1338313e-05
9606.ENSP00000296140	5.15846e-05
9606.ENSP00000364949	5.407054e-05
9606.ENSP00000383820	5.4529355e-05
9606.ENSP00000363270	5.4535387e-05
9606.ENSP00000235345	5.4981854e-05
9606.ENSP00000441600	5.627122e-05
9606.ENSP00000378181	5.764144e-05
