protein	pval
9606.ENSP00000366234	1.9287e-06
9606.ENSP00000482027	2.0032953e-06
9606.ENSP00000483430	2.0239822e-06
9606.ENSP00000305603	2.1945473e-06
9606.ENSP00000366926	2.2034603e-06
9606.ENSP00000233969	2.3672646e-06
9606.ENSP00000299855	2.3940856e-06
9606.ENSP00000362525	2.6217328e-06
9606.ENSP00000280987	2.640284e-06
9606.ENSP00000219919	2.7260407e-06
9606.ENSP00000315370	2.8792738e-06
9606.ENSP00000498260	2.9386392e-06
9606.ENSP00000416561	2.9763785e-06
9606.ENSP00000306390	3.206596e-06
9606.ENSP00000481841	3.221587e-06
9606.ENSP00000293328	3.2747519e-06
9606.ENSP00000271636	3.3608035e-06
9606.ENSP00000384999	3.41687e-06
9606.ENSP00000322788	3.991073e-06
9606.ENSP00000252252	4.001255e-06
9606.ENSP00000271640	4.1077974e-06
9606.ENSP00000342513	4.383123e-06
9606.ENSP00000351407	4.527472e-06
9606.ENSP00000378786	5.327757e-06
9606.ENSP00000311035	5.332936e-06
9606.ENSP00000264651	5.3904e-06
9606.ENSP00000451040	5.8384e-06
9606.ENSP00000259845	5.965704e-06
9606.ENSP00000232975	5.9981026e-06
9606.ENSP00000488568	6.1687865e-06
9606.ENSP00000493303	6.4161513e-06
9606.ENSP00000364243	6.780568e-06
9606.ENSP00000365362	6.8526633e-06
9606.ENSP00000372295	7.5751705e-06
9606.ENSP00000364992	8.0848e-06
9606.ENSP00000341208	8.125392e-06
9606.ENSP00000297991	8.880443e-06
9606.ENSP00000260502	8.884711e-06
9606.ENSP00000364578	9.183845e-06
9606.ENSP00000243924	9.8117025e-06
9606.ENSP00000352672	1.0754999e-05
9606.ENSP00000364543	1.1230316e-05
9606.ENSP00000397073	1.2208267e-05
9606.ENSP00000382800	1.29108475e-05
9606.ENSP00000417401	1.3273391e-05
9606.ENSP00000230321	1.3730525e-05
9606.ENSP00000310170	1.4056792e-05
9606.ENSP00000325638	1.4785e-05
9606.ENSP00000364076	1.4975981e-05
9606.ENSP00000384053	1.5033394e-05
9606.ENSP00000257264	1.5800217e-05
9606.ENSP00000331736	1.581014e-05
9606.ENSP00000365433	1.6303373e-05
9606.ENSP00000379038	1.6475886e-05
9606.ENSP00000416269	1.650818e-05
9606.ENSP00000259915	1.7512568e-05
9606.ENSP00000384719	1.8372266e-05
9606.ENSP00000378053	1.8697843e-05
9606.ENSP00000364482	1.8955738e-05
9606.ENSP00000382707	1.9229486e-05
9606.ENSP00000264657	1.9579937e-05
9606.ENSP00000399168	2.0740541e-05
9606.ENSP00000263125	2.1975835e-05
9606.ENSP00000333441	2.2104377e-05
9606.ENSP00000264634	2.2879292e-05
9606.ENSP00000397863	2.3914576e-05
9606.ENSP00000357737	2.4250405e-05
9606.ENSP00000325738	2.4512e-05
9606.ENSP00000295025	2.6876198e-05
9606.ENSP00000326003	2.7391969e-05
9606.ENSP00000364498	2.8224635e-05
9606.ENSP00000378965	2.925961e-05
9606.ENSP00000376500	2.9273682e-05
9606.ENSP00000284110	2.9419196e-05
9606.ENSP00000451818	2.949627e-05
9606.ENSP00000327763	3.0129553e-05
9606.ENSP00000310515	3.1312e-05
9606.ENSP00000220592	3.1679647e-05
9606.ENSP00000323821	3.1720247e-05
9606.ENSP00000416037	3.1849195e-05
9606.ENSP00000330341	3.2774824e-05
9606.ENSP00000257749	3.4364228e-05
9606.ENSP00000302579	3.4697016e-05
9606.ENSP00000296859	3.4845372e-05
9606.ENSP00000416996	3.5219913e-05
9606.ENSP00000261402	3.6004134e-05
